School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,29,2009,2073,721,1555,.464,207,550,.376,360,543,.663,222,904,408,210,83,412,631
Air Force,33,2411,2477,817,1876,.436,264,728,.363,513,715,.717,304,1149,494,197,57,390,594
Akron,36,2772,2550,949,2035,.466,366,984,.372,508,744,.683,357,1246,517,198,118,422,653
Alabama A&M,29,1794,2255,628,1549,.405,125,447,.280,411,614,.669,299,914,326,100,50,384,526
Alabama-Birmingham,33,2369,2316,835,1809,.462,203,583,.348,496,674,.736,321,1188,503,157,160,444,527
Alabama State,31,2042,2305,719,1834,.392,200,674,.297,404,634,.637,427,1188,300,150,98,488,629
Alabama,34,2330,2200,809,1909,.424,225,710,.317,487,746,.653,418,1327,390,200,141,474,664
Albany (NY),35,2496,2301,907,1941,.467,192,516,.372,490,647,.757,379,1257,444,178,60,416,617
Alcorn State,32,2221,2175,800,1866,.429,222,669,.332,399,612,.652,387,1243,425,209,115,452,610
American,30,1845,2049,692,1542,.449,168,529,.318,293,474,.618,204,868,339,209,73,396,548
Appalachian State,30,2208,2279,749,1781,.421,251,742,.338,459,674,.681,339,1126,414,167,91,414,641
Arizona State,33,2593,2695,888,2047,.434,328,896,.366,489,653,.749,304,1075,430,194,106,344,556
Arizona,37,2833,2440,977,2048,.477,244,625,.390,635,830,.765,380,1358,501,201,119,413,625
Arkansas-Little Rock,32,2188,2185,775,1749,.443,207,599,.346,431,582,.741,305,1058,379,183,120,412,591
Arkansas-Pine Bluff,32,1977,2320,695,1725,.403,208,621,.335,379,581,.652,335,1013,334,279,93,578,718
Arkansas State,32,2346,2211,826,1792,.461,220,579,.380,474,743,.638,352,1169,397,172,83,414,652
Arkansas,36,2855,2659,997,2165,.461,233,638,.365,628,825,.761,401,1298,497,278,170,428,739
Army,32,2324,2340,842,1906,.442,291,825,.353,349,533,.655,317,1213,520,178,61,483,620
Auburn,32,2573,2546,861,1969,.437,289,789,.366,562,836,.672,369,1171,416,234,162,434,668
Austin Peay,30,2331,2515,806,1718,.469,227,640,.355,492,695,.708,245,913,324,171,73,373,547
Ball State,34,2677,2567,929,2014,.461,319,841,.379,500,696,.718,335,1281,529,203,118,496,658
Baylor,35,2550,2228,921,1956,.471,230,641,.359,478,661,.723,451,1329,544,180,166,469,617
Belmont,30,2302,2078,798,1703,.469,306,895,.342,400,521,.768,254,1057,481,131,80,380,531
Bethune-Cookman,32,2275,2490,840,2022,.415,228,712,.320,367,554,.662,397,1135,448,245,96,413,644
Binghamton,32,2175,2270,768,1757,.437,248,685,.362,391,555,.705,251,1055,410,167,78,397,545
Boise State,32,2404,2278,811,1802,.450,253,726,.348,529,743,.712,309,1139,387,158,77,409,662
Boston College,32,2320,2508,843,1880,.448,256,685,.374,378,556,.680,292,1119,473,179,87,467,597
